2001-01-31,A000010,조흥은행,89478.42,1692167.64,0,NaN,NaN
2001-02-28,A000010,조흥은행,89478.42,1692167.64,0,NaN,NaN
2001-03-30,A000010,조흥은행,89478.42,1692167.64,0,NaN,NaN
2001-04-30,A000010,조흥은행,-4827.3,1628910.23,0,NaN,NaN
2001-05-31,A000010,조흥은행,-4827.3,1628910.23,0,NaN,NaN
2001-06-29,A000010,조흥은행,-4827.3,1628910.23,0,NaN,NaN
2001-07-31,A000010,조흥은행,130248.25,1738189.69,0,NaN,NaN
2001-08-31,A000010,조흥은행,130248.25,1738189.69,0,NaN,NaN
2001-09-28,A000010,조흥은행,130248.25,1738189.69,0,NaN,NaN
2001-10-31,A000010,조흥은행,181748.7,1741808.42,0,NaN,NaN
2001-11-30,A000010,조흥은행,181748.7,1741808.42,0,NaN,NaN
2001-12-28,A000010,조흥은행,181748.7,1741808.42,0,NaN,NaN
2002-01-31,A000010,조흥은행,404799.54,1913683.43,0,NaN,NaN
2002-02-28,A000010,조흥은행,404799.54,1913683.43,0,NaN,NaN
2002-03-29,A000010,조흥은행,404799.54,1913683.43,0,NaN,NaN
2002-04-30,A000010,조흥은행,406188.5,2159712.05,0,NaN,NaN
2002-05-31,A000010,조흥은행,406188.5,2159712.05,0,NaN,NaN
2002-06-28,A000010,조흥은행,406188.5,2159712.05,0,NaN,NaN
2002-07-31,A000010,조흥은행,360611.85,2226837.98,0,NaN,NaN
2002-08-30,A000010,조흥은행,360611.85,2226837.98,0,NaN,NaN
2002-09-30,A000010,조흥은행,360611.85,2226837.98,0,NaN,NaN
2002-10-31,A000010,조흥은행,226730.89,2175714.12,0,NaN,NaN
2002-11-29,A000010,조흥은행,226730.89,2175714.12,0,NaN,NaN
2002-12-30,A000010,조흥은행,226730.89,2175714.12,0,NaN,NaN
2001-01-31,A000020,동화약품,NaN,104147.17,NaN,148336.23,41920.76
2001-02-28,A000020,동화약품,NaN,104147.17,NaN,148336.23,41920.76
2001-03-30,A000020,동화약품,NaN,104147.17,NaN,148336.23,41920.76
2001-04-30,A000020,동화약품,3513.65,99006.78,0,140907,67573.53
2001-05-31,A000020,동화약품,3513.65,99006.78,0,140907,67573.53
